LoanID,Jurisdiction,Borrower,Sector,OriginalAmount(USDk),OutstandingAmount(USDk),EAD(USDk),Rating,PD,LGD,InterestRate(%),OriginationDate,MaturityDate,Stage,DaysPastDue,DefaultFlag
LON00024,KY,Johnson-Anderson,Hospitality,362.66,362.08,375.95,BB,0.02,0.25,4.55,2020-05-11,2023-09-16,1,0,0
LON00025,KY,Thompson-Adams,Hospitality,835.62,716.01,739.37,BBB,0.005,0.6,7.16,2023-09-13,2033-03-02,1,0,0
LON00026,JE,Pittman Ltd,Technology,189.35,165.11,172.95,B,0.05,0.35,7.72,2020-07-26,2022-07-20,3,0,0
LON00027,GU,Dudley-Everett,Hospitality,239.44,203.39,210.63,BBB,0.005,0.35,4.03,2020-12-03,2021-12-14,1,0,0
LON00028,BM,"Moore, Chen and Johnson",Retail,291.65,250.46,261.25,BBB,0.005,0.6,5.85,2023-03-04,2029-10-24,2,0,0
LON00029,KY,Mahoney-Mcbride,InvestmentHoldCo,638.47,618.41,631.88,BB,0.02,0.45,7.98,2022-09-18,2026-10-03,1,0,0
LON00030,BM,Martin PLC,Shipping,1216.65,1101.51,1116.06,AA,0.0005,0.45,3.16,2023-11-20,2031-11-30,1,0,0
LON00031,BM,"Ferguson, Davis and Sherman",PrivateWealth,150.41,134.16,140.84,BBB,0.005,0.35,5.87,2020-03-06,2025-12-03,1,90,0
LON00032,BM,Sweeney and Sons,RealEstate,1647.98,1573.28,1627.9,AA,0.0005,0.25,7.66,2020-08-25,2023-01-02,1,90,0
LON00033,JE,Martin PLC,Energy,172.79,149.43,155.98,A,0.001,0.25,8.24,2023-02-08,2024-08-15,1,60,0
LON00034,BM,"Mann, Green and Cantrell",Energy,827.06,674.94,694.5,A,0.001,0.45,6.34,2023-07-10,2033-04-15,2,30,0
LON00035,BM,Morgan-Ritter,Shipping,123.7,107.35,110.4,BB,0.02,0.25,6.33,2021-11-27,2023-11-06,1,0,0
LON00036,BM,Bennett Group,Energy,980.9,972.43,973.11,BB,0.02,0.6,6.06,2023-10-07,2028-11-23,1,60,0
LON00037,BM,"Moon, Mahoney and Lopez",Hospitality,311.03,308.62,315.47,B,0.05,0.25,3.05,2021-03-18,2030-01-03,1,0,0
LON00038,BM,Cohen Inc,Retail,1546.87,1276.59,1291.37,A,0.001,0.35,4.04,2019-12-17,2027-01-18,1,0,0
LON00039,GU,Figueroa-Merritt,Energy,740.68,631.0,654.06,AA,0.0005,0.6,3.9,2022-01-25,2024-03-22,1,0,0
LON00040,JE,Perez-Jones,PrivateWealth,518.19,412.02,416.6,BB,0.02,0.25,3.1,2023-04-18,2026-12-03,1,0,0
LON00041,KY,"Johnson, Williams and Thomas",Technology,259.6,228.24,228.72,AAA,0.0001,0.35,3.51,2023-02-13,2024-04-02,1,30,0
LON00042,BM,Garner Group,InvestmentHoldCo,391.94,320.23,332.28,BBB,0.005,0.25,6.47,2022-05-08,2028-03-29,1,90,0
LON00043,KY,"Reyes, Holder and Fletcher",RealEstate,3143.86,2531.86,2560.05,BBB,0.005,0.35,3.47,2020-01-01,2026-10-06,3,90,0
LON00044,KY,Weeks Inc,Retail,1332.92,1205.46,1236.93,BB,0.02,0.35,3.37,2020-02-12,2025-12-05,1,0,0
LON00045,JE,Duran and Sons,PrivateWealth,341.22,317.03,329.33,AAA,0.0001,0.35,3.62,2024-05-01,2026-05-28,1,0,0
LON00046,JE,Johnson LLC,Hospitality,1165.99,912.66,937.25,BBB,0.005,0.45,7.05,2023-03-12,2032-08-11,1,0,0
LON00047,BM,"Zamora, White and Scott",InvestmentHoldCo,749.36,704.39,707.25,A,0.001,0.45,6.42,2020-05-13,2029-04-26,1,90,0
LON00048,BM,"Lopez, Merritt and Hansen",InvestmentHoldCo,608.72,494.74,513.63,BBB,0.005,0.6,5.76,2019-10-04,2022-02-10,1,90,0
LON00049,BM,Ward-Valdez,Retail,1070.35,884.22,916.21,BB,0.02,0.25,3.68,2021-03-07,2022-03-16,2,30,0
LON00050,JE,Brown-Rich,Technology,310.91,283.34,292.21,AA,0.0005,0.6,5.45,2019-10-22,2023-02-19,1,0,0
LON00051,KY,"Phillips, Clements and Vaughn",RealEstate,596.02,562.4,584.02,BBB,0.005,0.25,6.58,2023-03-12,2027-02-02,1,0,0
LON00052,BM,"Peterson, Holt and Brown",Shipping,1832.04,1535.45,1587.2,A,0.001,0.35,7.86,2019-12-23,2027-02-08,2,90,0
LON00053,KY,"Wilson, Brennan and Acosta",Shipping,293.45,254.43,266.66,B,0.05,0.25,4.29,2023-09-02,2028-06-26,1,90,0
LON00054,BM,Carr-Lucero,Energy,304.79,266.22,274.7,BBB,0.005,0.25,3.78,2024-02-03,2026-11-23,1,0,0
LON00055,KY,Moran Ltd,Energy,533.21,484.11,494.26,A,0.001,0.25,8.13,2023-08-13,2032-11-12,1,0,0
LON00056,KY,"Lopez, Jackson and Porter",Retail,667.93,614.01,615.27,BBB,0.005,0.25,4.67,2021-05-07,2028-12-14,1,30,0
LON00057,KY,Wolf-Miller,Shipping,591.82,585.12,597.75,BB,0.02,0.25,7.71,2020-05-19,2024-09-02,1,0,0
LON00058,GU,Short Ltd,RealEstate,665.67,638.27,664.52,B,0.05,0.6,7.25,2022-04-21,2030-09-06,1,0,0
LON00059,KY,Boyd-Webster,Hospitality,736.84,663.89,679.27,B,0.05,0.6,6.14,2023-04-05,2029-06-17,2,0,0
LON00060,JE,Chavez and Sons,Shipping,315.97,281.55,292.76,A,0.001,0.25,4.93,2022-07-21,2031-12-01,1,0,0
LON00061,GU,Moyer and Sons,Technology,3097.3,3066.03,3104.75,BB,0.02,0.45,3.79,2020-05-29,2026-01-30,1,0,0
LON00062,GU,Barrera Group,RealEstate,931.17,771.04,778.51,A,0.001,0.25,5.93,2023-01-22,2031-12-31,1,0,0
LON00063,BM,"Fox, Jenkins and Richardson",Energy,289.8,277.49,283.21,BB,0.02,0.6,8.86,2019-07-16,2022-09-02,1,0,0
LON00064,KY,Carey-Mann,InvestmentHoldCo,427.78,403.96,406.47,AA,0.0005,0.35,8.57,2019-08-27,2023-12-14,1,0,0
LON00065,BM,Wagner LLC,Hospitality,894.98,871.82,879.54,BB,0.02,0.25,7.5,2024-05-20,2033-10-11,1,0,0
LON00066,KY,Moreno PLC,Hospitality,665.12,664.67,683.76,B,0.05,0.25,5.69,2024-01-29,2032-09-25,1,30,0
LON00067,JE,Torres-Collier,Shipping,1516.72,1201.17,1253.29,B,0.05,0.45,8.81,2022-01-29,2029-02-05,1,0,0
LON00068,JE,Rivera-Hayes,Energy,302.17,302.0,310.18,A,0.001,0.25,7.0,2023-05-07,2031-09-02,1,60,0
LON00069,BM,Gregory Ltd,InvestmentHoldCo,857.5,700.84,729.17,B,0.05,0.35,3.75,2020-10-17,2027-06-20,1,0,0
LON00070,BM,Jones-Rice,RealEstate,289.36,244.48,247.76,BBB,0.005,0.45,6.85,2023-08-21,2028-01-30,1,0,0
LON00071,BM,Holmes Inc,RealEstate,390.47,340.43,352.49,BB,0.02,0.35,5.17,2021-10-21,2024-04-05,1,60,0
LON00072,BM,Cabrera-Johnson,Energy,1166.7,902.75,931.51,A,0.001,0.25,7.11,2019-10-07,2020-11-11,1,60,0
LON00073,BM,Le Inc,Energy,418.5,342.56,351.53,A,0.001,0.35,5.15,2022-04-29,2025-07-03,1,0,0
LON00074,BM,"Olson, Mullins and Harris",PrivateWealth,728.79,597.93,612.2,AAA,0.0001,0.35,4.58,2023-01-08,2032-11-07,1,0,0
LON00075,KY,"Jenkins, Ramirez and Gutierrez",Energy,449.61,369.26,373.69,BB,0.02,0.45,6.18,2024-01-07,2029-11-27,3,30,0
LON00076,GU,Brown-Mitchell,Energy,849.49,849.28,874.54,A,0.001,0.25,5.11,2022-04-30,2027-02-15,2,60,0
LON00077,BM,"Watkins, Monroe and Sullivan",PrivateWealth,237.86,213.16,216.4,B,0.05,0.35,7.73,2019-07-22,2025-04-22,1,90,0
LON00078,GU,"Harvey, Miller and Graham",Shipping,5941.14,5260.32,5457.12,BB,0.02,0.35,5.41,2021-08-07,2024-10-10,1,90,0
LON00079,JE,Bates Ltd,InvestmentHoldCo,169.02,154.55,160.7,BBB,0.005,0.6,7.99,2023-07-24,2032-05-07,1,0,0
LON00080,JE,"Salinas, Chapman and Wilkerson",Shipping,445.31,374.46,378.23,AA,0.0005,0.45,3.36,2023-05-14,2026-09-05,1,0,0
LON00081,BM,"Arnold, Freeman and Fowler",Energy,1477.83,1388.07,1398.02,A,0.001,0.45,3.55,2019-12-21,2026-10-31,1,30,0
LON00082,JE,Marsh Inc,RealEstate,2463.6,1960.18,1991.32,A,0.001,0.25,4.11,2021-12-05,2029-04-08,1,30,0
LON00083,BM,Smith Ltd,Shipping,892.68,701.77,722.09,BBB,0.005,0.45,3.65,2023-11-13,2028-01-02,1,30,0
LON00084,KY,White Inc,Hospitality,2312.37,2006.04,2076.23,BB,0.02,0.6,5.96,2023-11-27,2032-09-30,1,90,0
LON00085,BM,Haynes-Ramsey,Technology,605.1,473.49,473.85,BBB,0.005,0.25,3.92,2022-03-12,2025-03-08,1,0,0
LON00086,KY,Brown-Romero,Energy,232.39,217.47,223.39,AAA,0.0001,0.25,6.26,2023-09-10,2029-09-21,1,0,0
LON00087,JE,Cook LLC,Retail,5081.43,4392.92,4557.89,BB,0.02,0.25,5.44,2021-10-31,2031-07-27,1,90,0
LON00088,KY,Scott-Larson,Hospitality,254.79,227.37,236.46,BB,0.02,0.25,3.88,2019-10-09,2024-06-26,3,0,0
LON00089,GU,Richards-Smith,Retail,1261.05,1130.99,1174.67,AA,0.0005,0.6,3.76,2022-01-05,2027-03-03,1,0,0
LON00090,BM,"Cowan, Suarez and Kidd",Energy,2373.43,1839.11,1894.46,BBB,0.005,0.25,5.18,2022-01-08,2024-08-24,1,90,0
LON00091,KY,"Whitaker, Good and Smith",Shipping,1770.94,1633.9,1664.82,BBB,0.005,0.25,3.45,2024-03-07,2033-05-15,1,60,0
LON00092,KY,Freeman Inc,RealEstate,1382.71,1091.21,1145.72,BBB,0.005,0.25,4.06,2019-09-22,2023-03-16,1,90,0
LON00093,KY,Yang LLC,Retail,1229.54,1116.31,1148.92,A,0.001,0.25,4.55,2024-04-24,2030-04-23,1,0,0
LON00094,KY,Ward PLC,Hospitality,1409.34,1108.18,1109.45,BBB,0.005,0.35,3.46,2022-04-10,2023-10-29,1,0,0
LON00095,JE,Peck-Mcmillan,Technology,358.69,355.94,362.88,BBB,0.005,0.35,4.03,2023-07-03,2025-05-23,1,0,0
LON00096,KY,Mccarthy-Dalton,Hospitality,1633.45,1338.11,1346.43,A,0.001,0.45,5.73,2023-01-18,2024-08-19,1,0,0
LON00097,JE,Duncan LLC,InvestmentHoldCo,2541.28,2061.02,2126.9,AAA,0.0001,0.6,5.62,2020-02-15,2028-11-18,1,60,0
LON00098,BM,Long Ltd,RealEstate,306.38,239.92,248.06,A,0.001,0.45,6.7,2021-08-14,2023-03-14,1,0,0
LON00099,BM,"Phelps, Payne and Hernandez",PrivateWealth,1466.6,1389.25,1402.67,BBB,0.005,0.35,6.77,2024-06-13,2034-04-20,1,60,0
LON00100,GU,"Riggs, Anderson and Cox",Technology,447.6,378.67,394.99,BBB,0.005,0.35,5.58,2022-05-21,2032-04-13,1,0,0
LON00101,BM,Ferguson and Sons,Hospitality,865.13,747.91,755.46,A,0.001,0.35,8.26,2020-12-31,2024-03-14,1,60,0
LON00102,KY,Rogers Inc,PrivateWealth,171.78,137.16,139.95,B,0.05,0.45,6.65,2021-05-08,2023-03-30,1,0,0
LON00103,KY,"Barrera, Scott and Ramsey",PrivateWealth,952.5,769.86,803.9,BBB,0.005,0.25,7.97,2022-12-12,2030-02-20,1,60,0
LON00104,BM,"Daniel, Bell and Kelly",InvestmentHoldCo,1132.63,934.93,947.69,B,0.05,0.45,8.7,2023-06-11,2028-09-11,2,90,0
LON00105,KY,Blake Ltd,Shipping,1301.75,1227.61,1260.6,B,0.05,0.45,5.68,2022-03-26,2031-06-24,1,60,0
LON00106,BM,Bennett PLC,RealEstate,692.61,536.71,561.54,BBB,0.005,0.25,6.51,2022-02-24,2027-05-12,1,30,0
LON00107,BM,"Hernandez, Prince and Briggs",Technology,669.52,648.9,657.0,BB,0.02,0.25,8.17,2020-07-01,2028-09-05,2,60,0
LON00108,GU,Phillips-Murray,Shipping,2389.36,1933.67,1993.17,BBB,0.005,0.25,4.35,2023-07-18,2027-11-04,1,0,0
LON00109,KY,Archer Ltd,Shipping,794.38,652.59,682.03,AA,0.0005,0.25,8.14,2019-12-19,2021-06-30,2,0,0
LON00110,KY,"Mcdowell, Blanchard and Taylor",PrivateWealth,4942.35,4120.61,4275.17,BB,0.02,0.25,6.84,2023-03-31,2025-07-08,1,0,0
LON00111,GU,Jackson Ltd,Technology,324.28,299.51,309.2,BBB,0.005,0.35,6.47,2021-11-24,2031-09-07,1,60,0
LON00112,KY,Jones Group,InvestmentHoldCo,654.07,622.18,625.27,BBB,0.005,0.6,7.14,2024-02-06,2027-10-29,1,90,0
LON00113,BM,Wilson-Sanders,Shipping,381.8,351.91,366.74,BB,0.02,0.35,3.08,2022-03-07,2026-12-01,1,0,0
LON00114,BM,Jacobs and Sons,Shipping,257.75,220.85,228.03,A,0.001,0.6,5.24,2021-12-06,2023-04-28,1,0,0
LON00115,KY,"King, Gonzales and Walker",RealEstate,338.11,269.96,275.22,A,0.001,0.6,4.49,2022-09-28,2032-06-09,1,0,0
LON00116,BM,"Howell, Sanchez and Bright",Hospitality,398.03,389.48,401.35,BB,0.02,0.25,7.84,2020-03-18,2021-04-30,1,0,0
LON00117,BM,Turner-Campbell,RealEstate,538.54,446.63,449.38,BBB,0.005,0.35,8.99,2021-10-27,2030-07-25,1,60,0
LON00118,KY,Orr-Williams,InvestmentHoldCo,371.3,312.81,324.66,BBB,0.005,0.25,8.55,2022-09-10,2027-09-27,1,0,0
LON00119,GU,Barry-Bell,PrivateWealth,996.99,898.56,927.95,BBB,0.005,0.25,8.42,2020-08-10,2023-03-19,1,0,0
LON00120,GU,Roach and Sons,PrivateWealth,263.75,242.75,250.75,BBB,0.005,0.25,8.89,2024-02-18,2033-12-12,2,0,0
LON00121,KY,Carter-Barr,Shipping,389.07,306.36,320.85,BB,0.02,0.35,8.21,2022-08-09,2030-09-30,1,0,0
LON00122,BM,"Harris, Parker and Robbins",InvestmentHoldCo,737.52,697.13,709.72,BBB,0.005,0.25,6.4,2019-12-12,2028-11-13,1,0,0
LON00123,BM,Dominguez-Oliver,Retail,964.84,757.69,779.72,A,0.001,0.25,4.78,2021-09-01,2027-07-08,1,90,0
LON00124,GU,Flores-Hall,RealEstate,206.81,159.33,160.45,AAA,0.0001,0.6,4.14,2023-01-24,2026-07-26,1,0,0
LON00125,BM,Pugh-Brown,Hospitality,176.8,155.56,163.2,BB,0.02,0.45,3.9,2024-05-21,2025-12-29,1,0,0
LON00126,BM,Little-May,RealEstate,843.62,839.68,858.92,AA,0.0005,0.25,4.71,2020-07-24,2023-07-07,1,60,0
LON00127,KY,Bauer-Hart,Shipping,916.27,718.12,728.17,AA,0.0005,0.35,5.76,2021-01-02,2029-01-12,1,0,0
LON00128,BM,Hunt-Scott,Hospitality,2476.78,1922.45,1963.26,BBB,0.005,0.35,6.37,2022-11-30,2026-10-19,1,30,0
LON00129,JE,Edwards Inc,Retail,1361.4,1308.19,1373.42,A,0.001,0.25,5.03,2021-07-25,2024-06-05,1,0,0
LON00130,KY,Howard-Wilson,Technology,485.49,387.17,396.13,A,0.001,0.35,4.37,2023-05-02,2029-07-07,1,0,0
LON00131,GU,Carroll-Henderson,Technology,242.32,190.2,197.48,AAA,0.0001,0.25,3.87,2023-11-17,2030-11-08,1,0,0
LON00132,BM,Preston-Reyes,PrivateWealth,499.51,465.9,470.55,BB,0.02,0.25,8.74,2020-06-10,2027-10-28,1,0,0
LON00133,BM,Chambers Ltd,Shipping,161.4,142.19,146.48,B,0.05,0.25,7.49,2021-11-23,2030-03-17,2,90,0
LON00134,KY,Clarke LLC,Hospitality,1110.34,969.07,997.96,A,0.001,0.45,8.62,2022-09-29,2032-09-17,1,90,0
LON00135,KY,Jennings and Sons,Shipping,3717.79,3163.61,3309.72,B,0.05,0.25,5.08,2023-09-21,2024-12-15,1,0,0
LON00136,BM,Decker Ltd,Retail,504.88,433.18,453.58,B,0.05,0.25,4.7,2020-05-21,2025-04-22,1,0,0
LON00137,BM,Castro-Parker,Technology,427.15,335.8,344.35,BBB,0.005,0.35,6.22,2019-10-24,2029-07-16,1,60,0
LON00138,KY,Blake-Edwards,RealEstate,290.29,241.48,246.79,B,0.05,0.25,6.93,2023-10-03,2032-08-16,3,90,0
LON00139,KY,Wheeler-Elliott,Technology,456.84,454.66,466.26,A,0.001,0.35,7.71,2021-03-09,2026-02-12,1,0,0
LON00140,KY,"Brown, Howe and Williams",Shipping,1962.74,1538.96,1598.3,BB,0.02,0.35,6.78,2019-08-30,2021-10-18,1,0,0
LON00141,BM,"Fleming, Hernandez and Ward",Retail,1701.22,1320.52,1370.8,AA,0.0005,0.35,3.89,2024-03-28,2027-10-10,1,90,0
LON00142,KY,"Stewart, Smith and Castro",InvestmentHoldCo,393.74,390.8,393.07,BB,0.02,0.45,6.21,2021-04-07,2023-03-22,3,60,0
LON00143,KY,Martinez Group,Hospitality,268.79,237.79,244.11,B,0.05,0.35,3.47,2020-08-21,2021-09-12,1,60,0
LON00144,KY,Carter-Mcbride,Shipping,1313.64,1266.86,1289.23,A,0.001,0.25,4.71,2020-09-14,2026-11-28,1,30,0
LON00145,KY,Ryan-Gutierrez,Shipping,403.97,327.55,330.26,B,0.05,0.35,6.63,2024-06-07,2030-06-01,1,0,0
LON00146,KY,"Smith, Perez and Miller",Retail,601.94,583.75,611.62,B,0.05,0.6,6.58,2024-01-29,2031-07-05,1,0,0
LON00147,BM,Rodriguez Group,InvestmentHoldCo,390.32,315.21,326.26,AA,0.0005,0.25,7.18,2020-11-21,2028-11-11,1,0,0
LON00148,KY,"Cook, Neal and Davis",Retail,578.48,457.63,468.22,BB,0.02,0.35,3.29,2019-09-11,2026-05-01,1,0,0
LON00149,BM,"Morgan, Smith and Cummings",RealEstate,497.97,385.62,393.45,BB,0.02,0.25,4.22,2022-03-27,2024-03-22,1,90,0
LON00150,JE,Mcfarland-Parker,InvestmentHoldCo,642.24,519.43,538.57,BBB,0.005,0.35,5.78,2022-10-16,2030-09-27,1,0,0
LON00151,GU,Cunningham-Greene,Technology,248.22,236.33,244.84,B,0.05,0.25,4.84,2024-03-11,2031-01-04,1,90,0
LON00152,BM,Monroe-Jarvis,Technology,464.02,406.3,424.58,BBB,0.005,0.35,8.42,2020-10-24,2027-12-23,1,90,0
LON00153,GU,Schmidt-Smith,PrivateWealth,179.03,169.28,171.69,BB,0.02,0.25,8.5,2022-07-04,2027-11-08,1,0,0
LON00154,KY,Green Ltd,Energy,1689.72,1318.16,1365.54,BB,0.02,0.25,6.6,2023-07-30,2024-12-21,1,30,0
LON00155,BM,Flores-Williams,Technology,6141.3,5255.87,5272.63,A,0.001,0.25,5.29,2019-09-20,2020-12-19,1,0,0
LON00156,BM,"Marshall, Alexander and Thomas",Hospitality,868.07,681.36,705.84,BB,0.02,0.25,7.94,2022-03-05,2024-05-30,1,0,0
LON00157,BM,Gray Inc,Technology,533.53,522.02,535.34,BBB,0.005,0.35,5.86,2021-09-02,2027-09-18,1,60,0
LON00158,KY,"Daniel, Wright and Adams",Shipping,1449.91,1364.22,1383.17,AAA,0.0001,0.6,7.55,2019-10-18,2028-03-26,1,0,0
LON00159,KY,"Young, Taylor and Campbell",Retail,530.14,431.59,447.54,BB,0.02,0.25,7.78,2022-04-29,2023-11-24,1,0,0
LON00160,KY,Russell-Mitchell,PrivateWealth,777.45,615.55,639.26,BBB,0.005,0.35,7.66,2020-08-12,2030-05-21,1,0,0
LON00161,BM,Gomez Group,PrivateWealth,627.42,519.06,533.03,B,0.05,0.35,7.03,2023-10-01,2031-03-13,1,30,0
LON00162,KY,Fisher-Willis,InvestmentHoldCo,240.31,194.78,195.91,B,0.05,0.45,7.72,2021-05-24,2030-08-26,1,60,0
LON00163,BM,Mills Inc,Shipping,1084.39,892.92,931.37,A,0.001,0.25,3.98,2020-09-22,2027-02-14,1,60,0
LON00164,BM,Cook-Payne,Technology,1362.48,1114.83,1129.05,BBB,0.005,0.45,4.31,2020-03-25,2021-11-18,1,60,0
LON00165,KY,"Garrett, Lopez and Huber",Energy,771.56,616.74,624.5,BB,0.02,0.45,3.92,2019-10-12,2021-03-28,1,30,0
LON00166,KY,"Jones, Evans and Duran",InvestmentHoldCo,817.52,717.7,744.41,AA,0.0005,0.25,3.52,2024-03-14,2030-09-21,1,90,0
LON00167,BM,"Brown, Powell and Jackson",RealEstate,2614.1,2145.05,2157.05,A,0.001,0.25,6.99,2023-02-03,2025-04-12,1,0,0
LON00168,GU,Jackson Inc,Hospitality,916.62,909.44,953.44,A,0.001,0.35,6.58,2022-06-27,2028-04-25,1,60,0
LON00169,KY,Costa-Hurst,Energy,708.99,675.47,682.04,BB,0.02,0.6,7.64,2020-05-02,2024-04-12,1,90,0
LON00170,KY,Simon-Larson,Energy,979.7,865.0,867.67,BB,0.02,0.45,3.52,2020-08-11,2029-09-13,1,90,0
LON00171,BM,Patterson PLC,PrivateWealth,1387.52,1224.59,1284.18,B,0.05,0.25,8.84,2021-05-27,2025-04-04,1,90,0
LON00172,BM,"Lynch, Butler and Greene",Retail,163.11,156.49,164.03,BB,0.02,0.6,5.58,2019-11-05,2024-09-25,1,30,0
LON00173,JE,King and Sons,PrivateWealth,416.28,374.87,389.63,BB,0.02,0.25,8.39,2020-06-07,2025-10-23,1,60,0
LON00174,KY,Boone and Sons,Energy,242.78,209.57,215.8,AA,0.0005,0.6,7.37,2020-05-17,2029-11-22,1,0,0
LON00175,GU,Frey LLC,RealEstate,212.94,170.77,177.8,BBB,0.005,0.25,3.66,2021-03-22,2028-06-19,1,60,0
LON00176,KY,"Mendoza, Mcdonald and Short",PrivateWealth,1357.89,1309.92,1355.9,B,0.05,0.25,3.0,2022-09-09,2027-07-14,1,30,0
LON00177,BM,Miller PLC,InvestmentHoldCo,302.09,233.32,234.98,BBB,0.005,0.25,7.88,2020-07-12,2022-02-12,2,30,0
LON00178,KY,"Harris, Rodriguez and Howard",Energy,413.81,322.41,338.28,AA,0.0005,0.35,3.75,2022-03-02,2027-03-09,1,0,0
LON00179,BM,Grant-Dean,InvestmentHoldCo,2001.9,1810.65,1830.98,B,0.05,0.45,3.16,2022-08-22,2031-03-12,2,30,0
LON00180,KY,Maddox-Ware,RealEstate,1219.61,1186.41,1227.74,BBB,0.005,0.6,8.84,2019-11-18,2026-05-20,1,0,0
LON00181,JE,Dyer and Sons,InvestmentHoldCo,272.33,211.56,219.9,BBB,0.005,0.6,6.15,2021-01-21,2025-03-29,2,60,0
LON00182,JE,Sutton Group,Energy,1386.32,1242.64,1262.8,B,0.05,0.25,8.61,2020-01-13,2022-06-19,1,60,0
LON00183,GU,Miller Group,Technology,423.59,357.91,358.52,A,0.001,0.6,3.11,2019-11-21,2026-09-21,1,0,0
LON00184,BM,Ingram-Hoover,Hospitality,737.47,690.26,719.71,B,0.05,0.25,7.06,2021-08-13,2026-02-24,1,90,0
LON00185,BM,"Watkins, Dodson and Estrada",InvestmentHoldCo,1040.76,1016.65,1053.81,BBB,0.005,0.25,3.02,2024-02-17,2033-02-02,2,0,0
LON00186,KY,"Griffin, Sanchez and Olson",Energy,221.27,181.9,189.84,BB,0.02,0.25,3.06,2019-11-07,2027-07-17,1,0,0
LON00187,KY,"Golden, Bryan and Rice",RealEstate,356.7,276.07,277.19,BB,0.02,0.25,5.34,2021-12-03,2024-04-29,1,0,0
LON00188,KY,Flores Group,InvestmentHoldCo,223.16,173.75,175.84,A,0.001,0.25,8.35,2024-02-07,2025-11-24,2,0,0
LON00189,BM,"Bradley, Davis and Rosales",Energy,749.44,672.72,702.75,BBB,0.005,0.35,5.85,2022-01-26,2030-02-16,1,30,0
